filename,source_video,video_id,frame_number,timestamp_sec,fps,width,height,quality_group,lighting_note,laplacian_variance,mean_brightness_0_255
v01_20-16_f00054_t01.82_clear.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,54,1.817,29.714286,640,426,clear,normal_indoor,223.128,128.065
v01_20-16_f00081_t02.73_clear.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,81,2.726,29.714286,640,426,clear,normal_indoor,195.579,127.836
v01_20-16_f00189_t06.36_clear.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,189,6.361,29.714286,640,426,clear,normal_indoor,174.325,125.844
v01_20-16_f00325_t10.94_clear.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,325,10.938,29.714286,640,426,clear,normal_indoor,203.902,128.638
v01_20-16_f00108_t03.63_moderate_blur.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,108,3.635,29.714286,640,426,moderate_blur,normal_indoor,164.388,120.634
v01_20-16_f00162_t05.45_moderate_blur.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,162,5.452,29.714286,640,426,moderate_blur,normal_indoor,162.384,119.565
v01_20-16_f00270_t09.09_moderate_blur.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,270,9.087,29.714286,640,426,moderate_blur,normal_indoor,159.972,124.129
v01_20-16_f00352_t11.85_moderate_blur.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,352,11.846,29.714286,640,426,moderate_blur,normal_indoor,205.746,124.502
v01_20-16_f00487_t16.39_moderate_blur.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,487,16.389,29.714286,640,426,moderate_blur,normal_indoor,207.169,121.987
v01_20-16_f00379_t12.75_severe_blur.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,379,12.755,29.714286,640,426,severe_blur,normal_indoor,177.084,129.351
v01_20-16_f00433_t14.57_severe_blur.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,433,14.572,29.714286,640,426,severe_blur,normal_indoor,233.741,123.385
v01_20-16_f00541_t18.21_severe_blur.png,Movie on 13-08-2026 at 20.16.mov,v01_20-16,541,18.207,29.714286,640,426,severe_blur,normal_indoor,197.624,119.272
v02_20-18_f00000_t00.00_clear.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,0,0.0,30.0,640,426,clear,normal_indoor,225.463,126.333
v02_20-18_f00113_t03.77_clear.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,113,3.767,30.0,640,426,clear,normal_indoor,206.866,134.854
v02_20-18_f00340_t11.33_clear.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,340,11.333,30.0,640,426,clear,normal_indoor,134.175,124.012
v02_20-18_f00718_t23.93_clear.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,718,23.933,30.0,640,426,clear,normal_indoor,159.426,114.522
v02_20-18_f00037_t01.23_moderate_blur.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,37,1.233,30.0,640,426,moderate_blur,normal_indoor,181.776,121.438
v02_20-18_f00151_t05.03_moderate_blur.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,151,5.033,30.0,640,426,moderate_blur,normal_indoor,127.706,121.012
v02_20-18_f00264_t08.80_moderate_blur.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,264,8.8,30.0,640,426,moderate_blur,normal_indoor,135.731,118.884
v02_20-18_f00567_t18.90_moderate_blur.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,567,18.9,30.0,640,426,moderate_blur,normal_indoor,147.802,117.291
v02_20-18_f00794_t26.47_moderate_blur.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,794,26.467,30.0,640,426,moderate_blur,normal_indoor,231.986,117.353
v02_20-18_f00189_t06.30_severe_blur.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,189,6.3,30.0,640,426,severe_blur,normal_indoor,126.623,119.166
v02_20-18_f00453_t15.10_severe_blur.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,453,15.1,30.0,640,426,severe_blur,normal_indoor,182.096,110.517
v02_20-18_f00680_t22.67_severe_blur.png,Movie on 13-08-2026 at 20.18.mov,v02_20-18,680,22.667,30.0,640,426,severe_blur,normal_indoor,121.12,113.544
v03_20-20_f00000_t00.00_clear.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,0,0.0,30.0,640,426,clear,normal_indoor,219.154,126.37
v03_20-20_f00016_t00.53_clear.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,16,0.533,30.0,640,426,clear,normal_indoor,210.181,123.234
v03_20-20_f00064_t02.13_clear.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,64,2.133,30.0,640,426,clear,normal_indoor,218.901,128.568
v03_20-20_f00097_t03.23_clear.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,97,3.233,30.0,640,426,clear,normal_indoor,247.783,125.951
v03_20-20_f00048_t01.60_moderate_blur.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,48,1.6,30.0,640,426,moderate_blur,normal_indoor,263.387,121.599
v03_20-20_f00080_t02.67_moderate_blur.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,80,2.667,30.0,640,426,moderate_blur,normal_indoor,213.877,120.459
v03_20-20_f00145_t04.83_moderate_blur.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,145,4.833,30.0,640,426,moderate_blur,normal_indoor,182.408,124.256
v03_20-20_f00161_t05.37_moderate_blur.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,161,5.367,30.0,640,426,moderate_blur,normal_indoor,228.817,115.621
v03_20-20_f00177_t05.90_moderate_blur.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,177,5.9,30.0,640,426,moderate_blur,normal_indoor,212.797,122.276
v03_20-20_f00113_t03.77_severe_blur.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,113,3.767,30.0,640,426,severe_blur,normal_indoor,149.017,117.748
v03_20-20_f00210_t07.00_severe_blur.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,210,7.0,30.0,640,426,severe_blur,normal_indoor,128.378,112.114
v03_20-20_f00242_t08.07_severe_blur.png,Movie on 13-08-2026 at 20.20(1).mov,v03_20-20,242,8.067,30.0,640,426,severe_blur,normal_indoor,172.803,109.494
v04_20-21_f00000_t00.00_clear.png,Movie on 13-08-2026 at 20.21(1).mov,v04_20-21,0,0.0,30.0,640,426,clear,normal_indoor,222.505,125.608
v04_20-21_f00038_t01.27_clear.png,Movie on 13-08-2026 at 20.21(1).mov,v04_20-21,38,1.267,30.0,640,426,clear,normal_indoor,221.063,124.109
v04_20-21_f00076_t02.53_clear.png,Movie on 13-08-2026 at 20.21(1).mov,v04_20-21,76,2.533,30.0,640,426,clear,normal_indoor,188.418,127.575
v04_20-21_f00266_t08.87_clear.png,Movie on 13-08-2026 at 20.21(1).mov,v04_20-21,266,8.867,30.0,640,426,clear,normal_indoor,240.806,129.25
v04_20-21_f00114_t03.80_moderate_blur.png,Movie on 13-08-2026 at 20.21(1).mov,v04_20-21,114,3.8,30.0,640,426,moderate_blur,normal_indoor,188.995,126.211
v04_20-21_f00152_t05.07_moderate_blur.png,Movie on 13-08-2026 at 20.21(1).mov,v04_20-21,152,5.067,30.0,640,426,moderate_blur,normal_indoor,198.92,121.851
